name,country
Stord Airport,Norway
Stavanger Airport Sola,Norway
Aitutaki Airport,Cook Islands
Arthur's Town Airport,Bahamas
Lynden Pindling International Airport,Bahamas
New Bight Airport,Bahamas
Altoona Blair County Airport,United States
Raleigh County Memorial Airport,United States
North Central West Virginia Airport,United States
Washington Dulles International Airport,United States
John Murtha Johnstown Cambria County Airport,United States
Morgantown Municipal Walter L. Bill Hart Field,United States
Shenandoah Valley Regional Airport,United States
Helsinki Vantaa Airport,Finland
Albury Airport,Australia
Adelaide International Airport,Australia
Armidale Airport,Australia
Broken Hill Airport,Australia
Bathurst Airport,Canada
Ballina Byron Gateway Airport,Australia
Wynyard Airport,Australia
Ceduna Airport,Australia
Coober Pedy Airport,Australia
Dubbo City Regional Airport,Australia
Griffith Airport,Australia
Grafton Airport,Australia
Mount Isa Airport,Australia
Julia Creek Airport,Australia
Kingscote Airport,Australia
King Island Airport,Australia
Longreach Airport,Australia
Lismore Airport,Australia
Melbourne International Airport,Australia
Mount Gambier Airport,Australia
Merimbula Airport,Australia
Mildura Airport,Australia
Moruya Airport,Australia
Narrandera Airport,Australia
Newcastle Airport,United Kingdom
Orange Airport,Australia
Parkes Airport,Australia
Port Lincoln Airport,Australia
Richmond Airport,Australia
Sydney Kingsford Smith International Airport,Australia
Taree Airport,Australia
Townsville Airport,Australia
Wagga Wagga City Airport,Australia
Winton Airport,Australia
Whyalla Airport,Australia
Vancouver Harbour Water Aerodrome,Canada
Victoria Harbour Seaplane Base,Canada
Bolzano Airport,Italy
Leonardo da Vinci Fiumicino Airport,Italy
Peretola Airport,Italy
Geneva Cointrin International Airport,Switzerland
Isle of Man Airport,Isle of Man
London City Airport,United Kingdom
Rotterdam The Hague Airport,Netherlands
Tampere-Pirkkala Airport,Finland
Stockholm-Bromma Airport,Sweden
Kalmar Airport,Sweden
Ronneby Airport,Sweden
Sundsvall-Harnosand Airport,Sweden
Trollhattan-Vanersborg Airport,Sweden
Amsterdam Airport Schiphol,Netherlands
Belgrade Nikola Tesla Airport,Serbia
Charles de Gaulle International Airport,France
Leipzig/Halle Airport,Germany
Lugano Airport,Switzerland
Stuttgart Airport,Germany
Turin Airport,Italy
Valencia Airport,Spain
Zurich Airport,Switzerland
Oulu Airport,Finland
Vilnius International Airport,Lithuania
Humberside Airport,United Kingdom
Norwich International Airport,United Kingdom
Ostersund Airport,Sweden
Vaasa Airport,Finland
Munich Airport,Germany
Voronezh International Airport,Russia
Gustaf III Airport,France
McCarran International Airport,United States
Los Angeles International Airport,United States
Nantucket Memorial Airport,United States
Clayton J Lloyd International Airport,Anguilla
Westchester County Airport,United States
Teterboro Airport,United States
Nome Airport,United States
Wales Airport,United States
Shaktoolik Airport,United States
Elim Airport,United States
Golovin Airport,United States
Koyuk Alfred Adams Airport,United States
Brevig Mission Airport,United States
Shishmaref Airport,United States
Teller Airport,United States
White Mountain Airport,United States
Anaktuvuk Pass Airport,United States
Fairbanks International Airport,United States
Minchumina Airport,United States
Havre St Pierre Airport,Canada
Port Menier Airport,Canada
Sept-Iles Airport,Canada
Ralph Wien Memorial Airport,United States
Hagerstown Regional Richard A Henson Field,United States
George Bush Intercontinental Houston Airport,United States
Lancaster Airport,United States
Victoria Regional Airport,United States
Richmond International Airport,United States
Detroit Metropolitan Wayne County Airport,United States
Raleigh Durham International Airport,United States
Minneapolis-St Paul International/Wold-Chamberlain Airport,United States
Ronald Reagan Washington National Airport,United States
Norfolk International Airport,United States
St Louis Lambert International Airport,United States
Austin Bergstrom International Airport,United States
Buffalo Niagara International Airport,United States
Charlotte Douglas International Airport,United States
Daytona Beach International Airport,United States
General Mitchell International Airport,United States
Greater Rochester International Airport,United States
Louis Armstrong New Orleans International Airport,United States
Portland International Airport,United States
San Francisco International Airport,United States
Denver International Airport,United States
Chongqing Jiangbei International Airport,China
Taiwan Taoyuan International Airport,Taiwan
Noi Bai International Airport,Vietnam
Kaohsiung International Airport,Taiwan
Macau International Airport,Macau
Philadelphia International Airport,United States
Indianapolis International Airport,United States
Sarasota Bradenton International Airport,United States
Tucson International Airport,United States
Guangzhou Baiyun International Airport,China
Changsha Huanghua International Airport,China
Fuzhou Changle International Airport,China
Hangzhou Xiaoshan International Airport,China
Kunming Changshui International Airport,China
Ningbo Lishe International Airport,China
Nanjing Lukou Airport,China
Taichung Ching Chuang Kang Airport,Taiwan
Tan Son Nhat International Airport,Vietnam
Shenzhen Bao'an International Airport,China
Liuting Airport,China
Xiamen Gaoqi International Airport,China
Zhengzhou Xinzheng International Airport,China
Incheon International Airport,South Korea
Guilin Liangjiang International Airport,China
Okayama Airport,Japan
Phnom Penh International Airport,Cambodia
Yaoqiang Airport,China
Tianjin Binhai International Airport,China
Tunxi International Airport,China
Baltimore/Washington International Thurgood Marshall Airport,United States
Kansas City International Airport,United States
Chicago O'Hare International Airport,United States
Miami International Airport,United States
Eppley Airfield,United States
Louisville International Standiford Field,United States
Pittsburgh International Airport,United States
Gulfport Biloxi International Airport,United States
John F Kennedy International Airport,United States
Akron Canton Regional Airport,United States
Will Rogers World Airport,United States
Syracuse Hancock International Airport,United States
Cincinnati Northern Kentucky International Airport,United States
Albany International Airport,United States
Des Moines International Airport,United States
Greenville Spartanburg International Airport,United States
La Guardia Airport,United States
John Glenn Columbus International Airport,United States
Charleston Air Force Base-International Airport,United States
Piedmont Triad International Airport,United States
Nashville International Airport,United States
Cleveland Hopkins International Airport,United States
Huntsville International Carl T Jones Field,United States
Savannah Hilton Head International Airport,United States
Columbia Metropolitan Airport,United States
Myrtle Beach International Airport,United States
Augusta Regional At Bush Field,United States
Blue Grass Airport,United States
Bradley International Airport,United States
Memphis International Airport,United States
Dane County Regional Truax Field,United States
Birmingham-Shuttlesworth International Airport,United States
Dallas Fort Worth International Airport,United States
Cozumel International Airport,Mexico
Bill & Hillary Clinton National Airport/Adams Field,United States
James M Cox Dayton International Airport,United States
El Paso International Airport,United States
Bishop International Airport,United States
Sangster International Airport,Jamaica
Theodore Francis Green State Airport,United States
Cancun International Airport,Mexico
William P Hobby Airport,United States
Asheville Regional Airport,United States
Lovell Field,United States
Owen Roberts International Airport,Cayman Islands
Wichita Eisenhower National Airport,United States
Harrisburg International Airport,United States
Tulsa International Airport,United States
Lome-Tokoin Airport,Togo
Ouagadougou Airport,Burkina Faso
Modibo Keita International Airport,Mali
Cadjehoun Airport,Benin
Leopold Sedar Senghor International Airport,Senegal
Hamid Karzai International Airport,Afghanistan
San Diego International Airport,United States
Calgary International Airport,Canada
Mc Allen Miller International Airport,United States
Albuquerque International Sunport,United States
Newark Liberty International Airport,United States
Palm Springs International Airport,United States
Barquisimeto International Airport,Venezuela
Reno Tahoe International Airport,United States
Los Cabos International Airport,Mexico
Phoenix Sky Harbor International Airport,United States
Jose Maria Cordova International Airport,Colombia
Toussaint Louverture International Airport,Haiti
Johan Adolf Pengel International Airport,Suriname
Arturo Michelena International Airport,Venezuela
Licenciado Gustavo Diaz Ordaz International Airport,Mexico
Norman Y. Mineta San Jose International Airport,United States
Sacramento International Airport,United States
Chengdu Shuangliu International Airport,China
Hefei Luogang International Airport,China
Longdongbao Airport,China
Nanning Wuxu Airport,China
Shijiazhuang Daguocun International Airport,China
Taipei Songshan Airport,Taiwan
Taiyuan Wusu Airport,China
Baghdad International Airport,Iraq
Erbil International Airport,Iraq
Tbilisi International Airport,Georgia
Maturin Airport,Venezuela
General Manuel Carlos Piar International Airport,Venezuela
Mashhad International Airport,Iran
Shiraz Shahid Dastghaib International Airport,Iran
Indira Gandhi International Airport,India
Zahedan International Airport,Iran
Konarak Airport,Iran
Abadan Airport,Iran
Shahid Sadooghi Airport,Iran
Sardar-e-Jangal Airport,Iran
Bandar Abbas International Airport,Iran
Kish International Airport,Iran
Shahid Ashrafi Esfahani Airport,Iran
Dasht-e Naz Airport,Iran
Port Bouet Airport,Cote d'Ivoire
Kotoka International Airport,Ghana
Lungi International Airport,Sierra Leone
Roberts International Airport,Liberia
Suvarnabhumi Airport,Thailand
Don Mueang International Airport,Thailand
Hong Kong International Airport,Hong Kong
Phuket International Airport,Thailand
El Tehuelche Airport,Argentina
Martin Miguel De Guemes International Airport,Argentina
City of Colorado Springs Municipal Airport,United States
Lubbock Preston Smith International Airport,United States
General Mariano Escobedo International Airport,Mexico
Ontario International Airport,United States
San Antonio International Airport,United States
Salt Lake City International Airport,United States
Dubai International Airport,United Arab Emirates
Don Miguel Hidalgo Y Costilla International Airport,Mexico
Bellingham International Airport,United States
Verona Villafranca Airport,Italy
Milano Linate Airport,Italy
Naples International Airport,Italy
Olbia Costa Smeralda Airport,Italy
Lehigh Valley International Airport,United States
Fort Wayne International Airport,United States
General Wayne A. Downing Peoria International Airport,United States
St Petersburg Clearwater International Airport,United States
Orlando Sanford International Airport,United States
McGhee Tyson Airport,United States
Phoenix-Mesa-Gateway Airport,United States
The Eastern Iowa Airport,United States
Hector International Airport,United States
Joe Foss Field Airport,United States
Lester B. Pearson International Airport,Canada
Montreal / Pierre Elliott Trudeau International Airport,Canada
Cardiff International Airport,United Kingdom
Durham Tees Valley Airport,United Kingdom
Kenneth Kaunda International Airport Lusaka,Zambia
Simon Mwansa Kapwepwe International Airport,Zambia
Livingstone Airport,Zambia
Eleftherios Venizelos International Airport,Greece
Dimokritos Airport,Greece
Ioannis Kapodistrias International Airport,Greece
Kefallinia Airport,Greece
Heraklion International Nikos Kazantzakis Airport,Greece
Ikaria Airport,Greece
Chios Island National Airport,Greece
Sitia Airport,Greece
Kithira Airport,Greece
Kastoria National Airport,Greece
Limnos Airport,Greece
Mytilene International Airport,Greece
Aktion National Airport,Greece
Diagoras Airport,Greece
Thessaloniki Macedonia International Airport,Greece
Skiros Airport,Greece
Samos Airport,Greece
Zakynthos International Airport 'Dionysios Solomos',Greece
Lilongwe International Airport,Malawi
Mfuwe Airport,Zambia
King Shaka International Airport,South Africa
Ben Schoeman Airport,South Africa
OR Tambo International Airport,South Africa
Maputo Airport,Mozambique
Hendrik Van Eck Airport,South Africa
Port Elizabeth Airport,South Africa
Dijon-Bourgogne Airport,France
East Midlands Airport,United Kingdom
Lorient South Brittany (Bretagne Sud) Airport,France
Lyon Saint-Exupery Airport,France
Southampton Airport,United Kingdom
Toulouse-Blagnac Airport,France
Wick Airport,United Kingdom
Bhadrapur Airport,Nepal
Bharatpur Airport,Nepal
Biratnagar Airport,Nepal
Gautam Buddha Airport,Nepal
Dhangarhi Airport,Nepal
Janakpur Airport,Nepal
Nepalgunj Airport,Nepal
Tribhuvan International Airport,Nepal
Pokhara Airport,Nepal
Tumling Tar Airport,Nepal
La Isabela International Airport,Dominican Republic
Cap Haitien International Airport,Haiti
Providenciales Airport,Turks and Caicos Islands
Jersey Airport,Jersey
Birmingham International Airport,United Kingdom
Bremen Airport,Germany
Munster Osnabruck Airport,Germany
Bergen Airport Flesland,Norway
Dusseldorf Airport,Germany
Edmonton International Airport,Canada
Hay River / Merlyn Carter Airport,Canada
Kelowna International Airport,Canada
Fort McMurray Airport,Canada
Fort Chipewyan Airport,Canada
Red Deer Regional Airport,Canada
Fort Smith Airport,Canada
Yellowknife Airport,Canada
Anglesey Airport,United Kingdom
Sveg Airport,Sweden
Hagfors Airport,Sweden
Lulea Airport,Sweden
Mora Airport,Sweden
Pajala Airport,Sweden
Lennart Meri Tallinn Airport,Estonia
Torsby Airport,Sweden
Kuressaare Airport,Estonia
Tashkent International Airport,Uzbekistan
Termez Airport,Uzbekistan
Urgench Airport,Uzbekistan
Karshi Khanabad Airport,Uzbekistan
Nukus Airport,Uzbekistan
Navoi Airport,Uzbekistan
Brussels Airport,Belgium
Winnipeg / James Armstrong Richardson International Airport,Canada
Thompson Airport,Canada
Churchill Airport,Canada
Aarhus Airport,Denmark
Gothenburg-Landvetter Airport,Sweden
Manchester Airport,United Kingdom
Flin Flon Airport,Canada
The Pas Airport,Canada
Rankin Inlet Airport,Canada
Augsburg Airport,Germany
Marseille Provence Airport,France
EuroAirport Basel-Mulhouse-Freiburg Airport,France
Luxembourg-Findel International Airport,Luxembourg
Nuremberg Airport,Germany
Vienna International Airport,Austria
Kristiansand Airport,Norway
Skopje Alexander the Great Airport,Macedonia
Innsbruck Airport,Austria
Minsk National Airport,Belarus
Platov International Airport,Russia
Cologne Bonn Airport,Germany
Bordeaux-Merignac Airport,France
Santorini Airport,Greece
Falcone Borsellino Airport,Italy
Lviv International Airport,Ukraine
Akureyri Airport,Iceland
Egilsstadir Airport,Iceland
Reykjavik Airport,Iceland
Geraldton Airport,Australia
Perth International Airport,Australia
Norman Manley International Airport,Jamaica
Bocas Del Toro International Airport,Panama
Cap Manuel Nino International Airport,Panama
Enrique Malek International Airport,Panama
Marcos A. Gelabert International Airport,Panama
Juan Santamaria International Airport,Costa Rica
Alberto Carnevalli Airport,Venezuela
Dr. Antonio Nicolas Briceno Airport,Venezuela
Antwerp International Airport (Deurne),Belgium
Brest Bretagne Airport,France
Deauville-Saint-Gatien Airport,France
Paris-Orly Airport,France
Bukavu Kavumu Airport,Democratic Republic of Congo
Beni Airport,Democratic Republic of Congo
Bunia Airport,Democratic Republic of Congo
Goma International Airport,Democratic Republic of Congo
Matari Airport,Democratic Republic of Congo
Kongolo Airport,Democratic Republic of Congo
Bayankhongor Airport,Mongolia
Choibalsan Airport,Mongolia
Dongshan Airport,China
Khovd Airport,Mongolia
Altai Airport,Mongolia
Muren Airport,Mongolia
Manzhouli Xijiao Airport,China
Chinggis Khaan International Airport,Mongolia
Donoi Airport,Mongolia
Albany Airport,Australia
Busselton Regional Airport,Australia
Esperance Airport,Australia
Ravensthorpe Airport,Australia
Sirri Island Airport,Iran
Olympic Dam Airport,Australia
Maumere(Wai Oti) Airport,Indonesia
Abu Dhabi International Airport,United Arab Emirates
Gerald R. Ford International Airport,United States
Baita International Airport,China
Tongliao Airport,China
Yantai Laishan Airport,China
Tapachula International Airport,Mexico
General Francisco Javier Mina International Airport,Mexico
Ottawa Macdonald-Cartier International Airport,Canada
Durango La Plata County Airport,United States
Rapid City Regional Airport,United States
Manchester-Boston Regional Airport,United States
Appleton International Airport,United States
Abilene Regional Airport,United States
Lafayette Regional Airport,United States
Sheppard Air Force Base-Wichita Falls Municipal Airport,United States
Tyler Pounds Regional Airport,United States
Montgomery Regional (Dannelly Field) Airport,United States
