name,country
Queen Alia International Airport,Jordan
Cairo International Airport,Egypt
Larnaca International Airport,Cyprus
Basrah International Airport,Iraq
Lauro Carneiro de Loyola Airport,Brazil
Eduardo Gomes International Airport,Brazil
Governador Jorge Teixeira de Oliveira Airport,Brazil
Guernsey Airport,Guernsey
London Gatwick Airport,United Kingdom
Tefe Airport,Brazil
Eilat Airport,Israel
Ben Gurion International Airport,Israel
Tripoli International Airport,Libya
Catania-Fontanarossa Airport,Italy
King Fahd International Airport,Saudi Arabia
Benina International Airport,Libya
Porto Seguro Airport,Brazil
Carajos Airport,Brazil
Hugo Cantergiani Regional Airport,Brazil
Fernando de Noronha Airport,Brazil
Prefeito Renato Moreira Airport,Brazil
Bahia - Jorge Amado Airport,Brazil
Presidente Castro Pinto International Airport,Brazil
Joao Correa da Rocha Airport,Brazil
Greater Natal International Airport,Brazil
Presidente Joao Batista Figueiredo Airport,Brazil
Guararapes - Gilberto Freyre International Airport,Brazil
Marechal Cunha Machado International Airport,Brazil
Tabatinga Airport,Brazil
Senador Petronio Portela Airport,Brazil
Malaga Airport,Spain
Alicante International Airport,Spain
Exeter International Airport,United Kingdom
Faro Airport,Portugal
Palma De Mallorca Airport,Spain
Bari Karol Wojtyla Airport,Italy
Cagliari Elmas Airport,Italy
Cluj-Napoca International Airport,Romania
Gdansk Lech Walesa Airport,Poland
Westerland Sylt Airport,Germany
Tirana International Airport Mother Teresa,Albania
Podgorica Airport,Montenegro
Chifeng Airport,China
Ordos Ejin Horo Airport,China
Bayannur Tianjitai Airport,China
Xi'an Xianyang International Airport,China
Governador Jose Richa Airport,Brazil
Nelson Ribeiro Guimaraes Airport,Brazil
Brigadeiro Lysias Rodrigues Airport,Brazil
Placido de Castro Airport,Brazil
Camilo Ponce Enriquez Airport,Ecuador
Aktau Airport,Kazakhstan
Entebbe International Airport,Uganda
Robert Gabriel Mugabe International Airport,Zimbabwe
Juba International Airport,South Sudan
Linz Horsching Airport,Austria
Monsenor Oscar Arnulfo Romero International Airport,El Salvador
Sde Dov Airport,Israel
Regional de Maringa Airport,Brazil
Cacoal Airport,Brazil
Professor Urbano Ernesto Stumpf Airport,Brazil
Brisbane International Airport,Australia
Proserpine Whitsunday Coast Airport,Australia
Karratha Airport,Australia
Port Hedland International Airport,Australia
Canberra International Airport,Australia
Coffs Harbour Airport,Australia
Cairns International Airport,Australia
Hervey Bay Airport,Australia
Christmas Island Airport,Christmas Island
Rafael Nunez International Airport,Colombia
La Aurora Airport,Guatemala
Tocumen International Airport,Panama
Urumqi Diwopu International Airport,China
Alfonso Bonilla Aragon International Airport,Colombia
Augusto C. Sandino (Managua) International Airport,Nicaragua
Aksu Airport,China
Hotan Airport,China
Kashgar Airport,China
Yaounde Nsimalen International Airport,Cameroon
Ivato Airport,Madagascar
Ibiza Airport,Spain
Mombasa Moi International Airport,Kenya
Graz Airport,Austria
Kzyl-Orda Southwest Airport,Kazakhstan
Astana International Airport,Kazakhstan
Halifax / Stanfield International Airport,Canada
Varna Airport,Bulgaria
London Stansted Airport,United Kingdom
Sofia Airport,Bulgaria
Haikou Meilan International Airport,China
Yining Airport,China
Aktobe Airport,Kazakhstan
Almaty Airport,Kazakhstan
Ust-Kamennogorsk Airport,Kazakhstan
Brindisi Salento Airport,Italy
Hamburg Airport,Germany
St. John's International Airport,Canada
Zhanjiang Airport,China
Sary-Arka Airport,Kazakhstan
Kalgoorlie Boulder Airport,Australia
Paris Beauvais Tille Airport,France
Surgut Airport,Russia
Burlington International Airport,United States
Deer Lake Airport,Canada
Regina International Airport,Canada
Saskatoon John G. Diefenbaker International Airport,Canada
Whitehorse / Erik Nielsen International Airport,Canada
Piloto Osvaldo Marques Dias Airport,Brazil
Congonhas Airport,Brazil
Presidente Joao Suassuna Airport,Brazil
Orlando Bezerra de Menezes Airport,Brazil
Senador Nilo Coelho Airport,Brazil
Hualien Airport,Taiwan
Kinmen Airport,Taiwan
Meixian Airport,China
Makung Airport,Taiwan
Naha Airport,Japan
Taitung Airport,Taiwan
Pau Pyrenees Airport,France
Suboficial Ay Santiago Germano Airport,Argentina
Aviador C. Campos Airport,Argentina
Catamarca Airport,Argentina
Ministro Pistarini International Airport,Argentina
Formosa Airport,Argentina
Cataratas Del Iguazu International Airport,Argentina
Capitan V A Almonacid Airport,Argentina
Gobernador Horacio Guzman International Airport,Argentina
Brigadier Mayor D Cesar Raul Ojeda Airport,Argentina
Carrasco International /General C L Berisso Airport,Uruguay
Termas de Rio Hondo international Airport,Argentina
Santa Rosa Airport,Argentina
Comodoro Arturo Merino Benitez International Airport,Chile
Gobernador Castello Airport,Argentina
Silvio Pettirossi International Airport,Paraguay
Philip S. W. Goldson International Airport,Belize
Jose Joaquin de Olmedo International Airport,Ecuador
Jorge Chavez International Airport,Peru
Alesund Airport,Norway
Comiso Airport,Italy
A Coruna Airport,Spain
Trondheim Airport,Norway
Vigo Airport,Spain
Worcester Regional Airport,United States
Portland International Jetport Airport,United States
Stewart International Airport,United States
Federico Garcia Lorca Airport,Spain
Menorca Airport,Spain
Ninoy Aquino International Airport,Philippines
Tainan Airport,Taiwan
Gustavo Rojas Pinilla International Airport,Colombia
Ernesto Cortissoz International Airport,Colombia
Palonegro Airport,Colombia
Camilo Daza International Airport,Colombia
Coronel FAP Francisco Secada Vignetta International Airport,Peru
Alfredo Vasquez Cobo International Airport,Colombia
Daniel Oduber Quiros International Airport,Costa Rica
Matecana International Airport,Colombia
Mariscal Sucre International Airport,Ecuador
Beihai Airport,China
Changzhou Benniu Airport,China
Dunhuang Airport,China
Zhijiang Airport,China
Hami Airport,China
Liping Airport,China
Jiujiang Lushan Airport,China
Kuqa Airport,China
Luoyang Airport,China
Xinyuan Nalati Airport,China
Nanyang Jiangying Airport,China
Tacheng Airport,China
Zhuhai Jinwan Airport,China
Mariscal Lamar Airport,Ecuador
Eloy Alfaro International Airport,Ecuador
Francisco De Orellana Airport,Ecuador
Jumandy Airport,Ecuador
Coronel E Carvajal Airport,Ecuador
Burgas Airport,Bulgaria
Paphos International Airport,Cyprus
Altay Air Base,China
Alashankou Bole (Bortala) airport,China
Changde Airport,China
Longjia Airport,China
Datong Airport,China
Fuyang Xiguan Airport,China
Lianshui Airport,China
Qingyang Airport,China
Jiagedaqi Airport,China
Quanzhou Jinjiang International Airport,China
Jiamusi Airport,China
Korla Airport,China
Karamay Airport,China
Lanzhou Zhongchuan Airport,China
Shubuling Airport,China
Luzhou Airport,China
Mudanjiang Hailang International Airport,China
Mianyang Airport,China
Nanchong Airport,China
Beijing Capital International Airport,China
Jieyang Chaoshan International Airport,China
Tongren Fenghuang Airport,China
Yulin Yuyang Airport,China
Wenzhou Longwan International Airport,China
Yiwu Airport,China
Zunyi Xinzhou Airport,China
Heydar Aliyev International Airport,Azerbaijan
Ganja Airport,Azerbaijan
Shymkent Airport,Kazakhstan
Zhezkazgan Airport,Kazakhstan
Manas International Airport,Kyrgyzstan
Kostanay West Airport,Kazakhstan
Kurumoch International Airport,Russia
Kazan International Airport,Russia
Omsk Central Airport,Russia
Pavlodar Airport,Kazakhstan
Chileka International Airport,Malawi
Julius Nyerere International Airport,Tanzania
Douala International Airport,Cameroon
Sir Seretse Khama International Airport,Botswana
Bastia-Poretta Airport,France
Shanhaiguan Airport,China
Zhangjiakou Ningyuan Airport,China
Cloncurry Airport,Australia
Odessa International Airport,Ukraine
Quatro de Fevereiro Airport,Angola
Zaragoza Air Base,Spain
Antonio Jose de Sucre Airport,Venezuela
Jose Leonardo Chirinos Airport,Venezuela
Cheddi Jagan International Airport,Guyana
Point Salines International Airport,Grenada
General Bartolome Salom International Airport,Venezuela
Del Caribe Santiago Marino International Airport,Venezuela
Piarco International Airport,Trinidad and Tobago
Cacique Aramare Airport,Venezuela
Mayor Buenaventura Vivas International Airport,Venezuela
Juan Pablo Perez Alfonso Airport,Venezuela
Ayers Rock Connellan Airport,Australia
Cocos (Keeling) Islands Airport,Cocos (Keeling) Islands
Gold Coast Airport,Australia
Xoxocotlan International Airport,Mexico
Beirut Rafic Hariri International Airport,Lebanon
Mosul International Airport,Iraq
Montpellier-Mediterranee Airport,France
Chicago Midway International Airport,United States
George Best Belfast City Airport,United Kingdom
Minot International Airport,United States
Bangor International Airport,United States
Glacier Park International Airport,United States
Bahrain International Airport,Bahrain
Muscat International Airport,Oman
Hamad International Airport,Qatar
Kuwait International Airport,Kuwait
King Khaled International Airport,Saudi Arabia
Salalah Airport,Oman
Pisa International Airport,Italy
Ancona Falconara Airport,Italy
Es Senia Airport,Algeria
Trieste Friuli Venezia Giulia Airport,Italy
Imam Khomeini International Airport,Iran
Robin Hood Doncaster Sheffield Airport,United Kingdom
Great Falls International Airport,United States
Helena Regional Airport,United States
Sulaymaniyah International Airport,Iraq
King Abdulaziz International Airport,Saudi Arabia
Genoa Cristoforo Colombo Airport,Italy
Kilimanjaro International Airport,Tanzania
Budapest Liszt Ferenc International Airport,Hungary
Riga International Airport,Latvia
Katowice International Airport,Poland
New Chitose Airport,Japan
Yamagata Airport,Japan
Hanamaki Airport,Japan
Osaka International Airport,Japan
Kumamoto Airport,Japan
Joensuu Airport,Finland
Kagoshima Airport,Japan
Aswan International Airport,Egypt
Prince Mohammad Bin Abdulaziz Airport,Saudi Arabia
Nejran Airport,Saudi Arabia
Gassim Airport,Saudi Arabia
Prince Abdulmohsin Bin Abdulaziz Airport,Saudi Arabia
Abha Regional Airport,Saudi Arabia
Sharurah Airport,Saudi Arabia
Santiago Perez Airport,Colombia
Fabio Alberto Leon Bentley Airport,Colombia
Antonio Narino Airport,Colombia
Vanguardia Airport,Colombia
Borg El Arab International Airport,Egypt
Calvi-Sainte-Catherine Airport,France
Ljubljana Joze Pucnik Airport,Slovenia
Ciudad Obregon International Airport,Mexico
Valle del Fuerte International Airport,Mexico
General Rivadeneira Airport,Ecuador
Santa Rosa International Airport,Ecuador
Cotopaxi International Airport,Ecuador
Conakry International Airport,Guinea
Aomori Airport,Japan
Fukuoka Airport,Japan
Kochi Airport,Japan
Niigata Airport,Japan
Matsumoto Airport,Japan
Nagoya Airport,Japan
Tokyo Haneda International Airport,Japan
Misawa Air Base,Japan
Nagasaki Airport,Japan
Sendai Airport,Japan
Nanki Shirahama Airport,Japan
Malindi Airport,Kenya
Szczecin-Goleni Airport,Poland
Abu Simbel Airport,Egypt
Assiut International Airport,Egypt
Sohag International Airport,Egypt
Marsa Alam International Airport,Egypt
Sharm El Sheikh International Airport,Egypt
St Gallen Altenrhein Airport,Switzerland
Broome International Airport,Australia
Presidente Nicolau Lobato International Airport,East Timor
Kununurra Airport,Australia
Al-Jawf Domestic Airport,Saudi Arabia
Al Qaisumah/Hafr Al Batin Airport,Saudi Arabia
Bisha Airport,Saudi Arabia
Al Wajh Domestic Airport,Saudi Arabia
Ha'il Airport,Saudi Arabia
Al Ahsa Airport,Saudi Arabia
Arar Domestic Airport,Saudi Arabia
Rafha Domestic Airport,Saudi Arabia
Turaif Domestic Airport,Saudi Arabia
Tabuk Airport,Saudi Arabia
Majeed Bin Abdulaziz Airport,Saudi Arabia
Wadi Al Dawasir Airport,Saudi Arabia
McArthur River Mine Airport,Australia
Longana Airport,Vanuatu
Walaha Airport,Vanuatu
Gaua Island Airport,Vanuatu
Moro Airport,Papua New Guinea
Honiara International Airport,Solomon Islands
Suavanao Airport,Solomon Islands
Lourdes de Blanc Sablon Airport,Canada
Chevery Airport,Canada
La Romaine Airport,Canada
Ua Pou Airport,French Polynesia
Morondava Airport,Madagascar
Toamasina Airport,Madagascar
Antsirabato Airport,Madagascar
Maroantsetra Airport,Madagascar
Gerrard Smith International Airport,Cayman Islands
Grise Fiord Airport,Canada
Resolute Bay Airport,Canada
Drake Bay Airport,Costa Rica
Arenal Airport,Costa Rica
Golfito Airport,Costa Rica
Puerto Jimenez Airport,Costa Rica
Tobias Bolanos International Airport,Costa Rica
Iqaluit Airport,Canada
Kimmirut Airport,Canada
Jaque Airport,Panama
Puerto Obaldia Airport,Panama
Wekweeti Airport,Canada
Fort Simpson Airport,Canada
Whati Airport,Canada
Rae Lakes Airport,Canada
Lutselk'e Airport,Canada
Virgin Gorda Airport,British Virgin Islands
Vieques Airport,Puerto Rico
Barra Airport,United Kingdom
Campbeltown Airport,United Kingdom
Mount Hagen Kagamuga Airport,Papua New Guinea
Cicia Airport,Fiji
Vunisea Airport,Fiji
Lakeba Island Airport,Fiji
Nadi International Airport,Fiji
Rotuma Airport,Fiji
Nausori International Airport,Fiji
Savusavu Airport,Fiji
Matei Airport,Fiji
Vanua Balavu Airport,Fiji
Praslin Airport,Seychelles
Seychelles International Airport,Seychelles
Inuvik Mike Zubko Airport,Canada
Fort Good Hope Airport,Canada
Norman Wells Airport,Canada
Deline Airport,Canada
Tulita Airport,Canada
Choiseul Bay Airport,Solomon Islands
Sege Airport,Solomon Islands
Fera/Maringe Airport,Solomon Islands
Nusatupe Airport,Solomon Islands
Ngorangora Airport,Solomon Islands
Kaghau Airport,Solomon Islands
Munda Airport,Solomon Islands
Santa Ana Airport,Solomon Islands
Ramata Airport,Solomon Islands
Ulawa Airport,Solomon Islands
Rennell/Tingoa Airport,Solomon Islands
Edward Bodden Airfield,Cayman Islands
Mananara Nord Airport,Madagascar
Lamen Bay Airport,Vanuatu
Lamap Airport,Vanuatu
Maewo-Naone Airport,Vanuatu
Tavie Airport,Vanuatu
Sara Airport,Vanuatu
Southwest Bay Airport,Vanuatu
Torres Airstrip,Vanuatu
Pointe Vele Airport,Wallis and Futuna
Hihifo Airport,Wallis and Futuna
Ile Art - Waala Airport,New Caledonia
Noumea Magenta Airport,New Caledonia
Koumac Airport,New Caledonia
Lifou Airport,New Caledonia
Tiga Airport,New Caledonia
Touho Airport,New Caledonia
Ouvea Airport,New Caledonia
Hiva Oa-Atuona Airport,French Polynesia
Nuku Hiva Airport,French Polynesia
Ua Huka Airport,French Polynesia
Nain Airport,Canada
Hopedale Airport,Canada
St Augustin Airport,Canada
Makkovik Airport,Canada
Natashquan Airport,Canada
Natuashish Airport,Canada
Rigolet Airport,Canada
Postville Airport,Canada
Goose Bay Airport,Canada
Kegaska Airport,Canada
La Tabatiare Airport,Canada
Tete-a-la-Baleine Airport,Canada
F. D. Roosevelt Airport,Netherlands Antilles
Juancho E. Yrausquin Airport,Netherlands Antilles
Ketchikan International Airport,United States
Metlakatla Seaplane Base,United States
Elfin Cove Seaplane Base,United States
Juneau International Airport,United States
Hydaburg Seaplane Base,United States
Klawock Airport,United States
Daru Airport,Papua New Guinea
Goroka Airport,Papua New Guinea
Port Moresby Jacksons International Airport,Papua New Guinea
Kangerlussuaq Airport,Greenland
Rockhampton Airport,Australia
Coastal Carolina Regional Airport,United States
Tari Airport,Papua New Guinea
Kiunga Airport,Papua New Guinea
Tri-State/Milton J. Ferguson Field,United States
Miyazaki Airport,Japan
Albert J Ellis Airport,United States
Sam Ratulangi Airport,Indonesia
Coimbatore International Airport,India
Dabolim Airport,India
Rajiv Gandhi International Airport,India
Chennai International Airport,India
Chubu Centrair International Airport,Japan
Male International Airport,Maldives
Trivandrum International Airport,India
Sisimiut Airport,Greenland
Godthaab / Nuuk Airport,Greenland
Maniitsoq Airport,Greenland
LTS Pulau Redang Airport,Malaysia
Singapore Changi Airport,Singapore
Sultan Abdul Aziz Shah International Airport,Malaysia
Richards Bay Airport,South Africa
Saarbrucken Airport,Germany
Berlin-Tegel Airport,Germany
Inhambane Airport,Mozambique
Chimoio Airport,Mozambique
Rzeszow-Jasionka Airport,Poland
Ireland West Knock Airport,Ireland
Tamworth Airport,Australia
Emerald Airport,Australia
Gladstone Airport,Australia
Horn Island Airport,Australia
Launceston Airport,Australia
Mackay Airport,Australia
Moranbah Airport,Australia
Roma Airport,Australia
Haugesund Airport,Norway
Kirkenes Airport,Norway
Tromso Airport,Norway
Quebec Jean Lesage International Airport,Canada
Greater Moncton International Airport,Canada
Split Airport,Croatia
Boise Air Terminal/Gowen Field,United States
Cape Town International Airport,South Africa
Kimberley Airport,South Africa
Tiksi Airport,Russia
Prince George Airport,Canada
Salzburg Airport,Austria
Madang Airport,Papua New Guinea
Basco Airport,Philippines
Catarman National Airport,Philippines
Surigao Airport,Philippines
Tuguegarao Airport,Philippines
Karpathos Airport,Greece
Ioannina Airport,Greece
Skiathos Island National Airport,Greece
Alexander the Great International Airport,Greece
Rogue Valley International Medford Airport,United States
Mammoth Yosemite Airport,United States
Metropolitan Oakland International Airport,United States
Charles M. Schulz Sonoma County Airport,United States
Khrabrovo Airport,Russia
Fredericton Airport,Canada
Saint John Airport,Canada
Billy Bishop Toronto City Centre Airport,Canada
Fort St John Airport,Canada
Charlottetown Airport,Canada
Victoria International Airport,Canada
Bergerac-Roumaniere Airport,France
Limoges Airport,France
La Rochelle-Ile de Re Airport,France
Rennes-Saint-Jacques Airport,France
Walla Walla Regional Airport,United States
Billings Logan International Airport,United States
Gallatin Field,United States
Pangborn Memorial Airport,United States
Spokane International Airport,United States
Loreto International Airport,Mexico
Lewiston Nez Perce County Airport,United States
Missoula International Airport,United States
Tri Cities Airport,United States
Pullman Moscow Regional Airport,United States
Yakima Air Terminal McAllister Field,United States
Newquay Cornwall Airport,United Kingdom
Liverpool John Lennon Airport,United Kingdom
Waterford Airport,Ireland
Palanga International Airport,Lithuania
Ulgii Mongolei Airport,Mongolia
Ulaangom Airport,Mongolia
Lublin Airport,Poland
Zadar Airport,Croatia
Angouleme-Brie-Champniers Airport,France
Figari Sud-Corse Airport,France
Poznan-Lawica Airport,Poland
Luxor International Airport,Egypt
Madeira Airport,Portugal
Joao Paulo II Airport,Portugal
Iasi Airport,Romania
Klagenfurt Airport,Austria
Sibiu International Airport,Romania
Bol Airport,Croatia
Pristina International Airport,Serbia
Pula Airport,Croatia
Sarajevo International Airport,Bosnia and Herzegovina
Sault Ste Marie Airport,Canada
Windsor Airport,Canada
Thunder Bay Airport,Canada
Sudbury Airport,Canada
Timmins/Victor M. Power,Canada
Calbayog Airport,Philippines
Jolo Airport,Philippines
Francisco B. Reyes Airport,Philippines
Naga Airport,Philippines
Zamboanga International Airport,Philippines
Kimbe Airport,Papua New Guinea
Nadzab Airport,Papua New Guinea
Tokua Airport,Papua New Guinea
Vanimo Airport,Papua New Guinea
Wewak International Airport,Papua New Guinea
Blackall Airport,Australia
Paraburdoo Airport,Australia
Port Macquarie Airport,Australia
Ignatyevo Airport,Russia
Irkutsk Airport,Russia
Krasnodar Pashkovsky International Airport,Russia
Uytash Airport,Russia
Chulman Airport,Russia
Nogliki Airport,Russia
Ulan-Ude Airport (Mukhino),Russia
Hoedspruit Air Force Base Airport,South Africa
Eagle County Regional Airport,United States
Yampa Valley Airport,United States
Montrose Regional Airport,United States
Nnamdi Azikiwe International Airport,Nigeria
Ibadan Airport,Nigeria
Mallam Aminu International Airport,Nigeria
Warri Airport,Nigeria
Kamembe Airport,Rwanda
Bodo Airport,Norway
Brandon Municipal Airport,Canada
Nanaimo Airport,Canada
Kamloops Airport,Canada
Grande Prairie Airport,Canada
Northwest Regional Airport Terrace-Kitimat,Canada
Florence Regional Airport,United States
Tri-Cities Regional TN/VA Airport,United States
Charleville Airport,Australia
Moree Airport,Australia
Gurney Airport,Papua New Guinea
Girua Airport,Papua New Guinea
Barcaldine Airport,Australia
Bundaberg Airport,Australia
Devonport Airport,Australia
Weipa Airport,Australia
Dharavandhoo Airport,Maldives
Hanimaadhoo Airport,Maldives
Kaadedhdhoo Airport,Maldives
Gaspe (Michel-Pouliot) Airport,Canada
Alta Airport,Norway
Andoya Airport,Norway
Bronnoysund Airport,Norway
Floro Airport,Norway
Skien Airport,Norway
Lynchburg Regional Preston Glenn Field,United States
Auckland International Airport,New Zealand
Nelson Airport,New Zealand
Tauranga Airport,New Zealand
Woodbourne Airport,New Zealand
Gisborne Airport,New Zealand
Wellington International Airport,New Zealand
Whangarei Airport,New Zealand
V.C. Bird International Airport,Antigua and Barbuda
Sir Grantley Adams International Airport,Barbados
Argyle International Airport,Saint Vincent and the Grenadines
Christchurch International Airport,New Zealand
Invercargill Airport,New Zealand
Hawke's Bay Airport,New Zealand
New Plymouth Airport,New Zealand
Palmerston North Airport,New Zealand
Gan International Airport,Maldives
Godofredo P. Ramos Airport,Philippines
Marina Di Campo Airport,Italy
Friedrichshafen Airport,Germany
Wilkes Barre Scranton International Airport,United States
Greater Binghamton/Edwin A Link field,United States
Elmira Corning Regional Airport,United States
Erie International Tom Ridge Field,United States
Fayetteville Regional Grannis Field,United States
Hilton Head Airport,United States
Tweed New Haven Airport,United States
Williamsport Regional Airport,United States
Ithaca Tompkins Regional Airport,United States
Newport News Williamsburg International Airport,United States
Salisbury Ocean City Wicomico Regional Airport,United States
University Park Airport,United States
Castlegar/West Kootenay Regional Airport,Canada
Prince Rupert Airport,Canada
Cranbrook/Canadian Rockies International Airport,Canada
Smithers Airport,Canada
Penticton Airport,Canada
Sandspit Airport,Canada
Eugene F. Correira International Airport,Guyana
George F. L. Charles Airport,Saint Lucia
Paraparaumu Airport,New Zealand
Rotorua Regional Airport,New Zealand
Moises R. Espinosa Airport,Philippines
Tabubil Airport,Papua New Guinea
Toowoomba Airport,Australia
Hamilton Island Airport,Australia
Banak Airport,Norway
Kooddoo Airport,Maldives
Kadhdhoo Airport,Maldives
Batsfjord Airport,Norway
Berlevag Airport,Norway
Hasvik Airport,Norway
Hammerfest Airport,Norway
Valan Airport,Norway
Mehamn Airport,Norway
Mosjoen Airport,Norway
Namsos Airport,Norway
Stokmarknes Skagen Airport,Norway
Vardo Airport,Norway
Vadso Airport,Norway
Enrique Olaya Herrera Airport,Colombia
Perales Airport,Colombia
Los Garzones Airport,Colombia
Benito Salas Airport,Colombia
Tres De Mayo Airport,Colombia
El Carano Airport,Colombia
Fukue Airport,Japan
Iki Airport,Japan
Tsushima Airport,Japan
London Airport,Canada
Iles-de-la-Madeleine Airport,Canada
Leknes Airport,Norway
Mo i Rana Airport,Norway
Narvik Framnes Airport,Norway
Rost Airport,Norway
Roervik Airport,Norway
Sorkjosen Airport,Norway
Sandnessjoen Airport,Norway
Svolvar Helle Airport,Norway
Baie Comeau Airport,Canada
CFB Bagotville,Canada
Sydney / J.A. Douglas McCurdy Airport,Canada
Rouyn Noranda Airport,Canada
Val-d'Or Airport,Canada
Wabush Airport,Canada
North Bay Jack Garland Airport,Canada
Mont Joli Airport,Canada
Northern Peninsula Airport,Australia
Aurukun Airport,Australia
Bedourie Airport,Australia
Boulia Airport,Australia
Burketown Airport,Australia
Birdsville Airport,Australia
Cunnamulla Airport,Australia
Coen Airport,Australia
Doomadgee Airport,Australia
Pormpuraaw Airport,Australia
Lockhart River Airport,Australia
Kowanyama Airport,Australia
Normanton Airport,Australia
Mornington Island Airport,Australia
Quilpie Airport,Australia
Windorah Airport,Australia
Thargomindah Airport,Australia
Orsta-Volda Airport,Norway
Roros Airport,Norway
Sandane Airport (Anda),Norway
Sogndal Airport,Norway
General Jose Antonio Anzoategui International Airport,Venezuela
Dundee Airport,United Kingdom
Bern Belp Airport,Switzerland
Mannheim-City Airport,Germany
Licenciado Manuel Crescencio Rejon Int Airport,Mexico
General Heriberto Jara International Airport,Mexico
Carlos Rovirosa Perez International Airport,Mexico
Pamplona Airport,Spain
Asturias Airport,Spain
Ibn Batouta Airport,Morocco
Perpignan-Rivesaltes Airport,France
Sevilla Airport,Spain
Jerez Airport,Spain
Ngurah Rai (Bali) International Airport,Indonesia
Juanda International Airport,Indonesia
Fatmawati Soekarno Airport,Indonesia
Soekarno-Hatta International Airport,Indonesia
Toulon-Hyeres Airport,France
Pattimura Airport,Indonesia
Syamsudin Noor Airport,Indonesia
Kalimarau Airport,Indonesia
Sultan Aji Muhamad Sulaiman Airport,Indonesia
Hang Nadim International Airport,Indonesia
Sentani International Airport,Indonesia
Adi Sutjipto International Airport,Indonesia
El Tari Airport,Indonesia
Lombok International Airport,Indonesia
Rendani Airport,Indonesia
Sultan Mahmud Badaruddin II Airport,Indonesia
Dominique Edward Osok Airport,Indonesia
Achmad Yani Airport,Indonesia
Radin Inten II (Branti) Airport,Indonesia
Raja Haji Fisabilillah International Airport,Indonesia
Juwata Airport,Indonesia
Sultan Khairun Babullah Airport,Indonesia
Hasanuddin International Airport,Indonesia
Shreveport Regional Airport,United States
Brownsville South Padre Island International Airport,United States
Pocatello Regional Airport,United States
Memanbetsu Airport,Japan
MBS International Airport,United States
Barinas Airport,Venezuela
Amado Nervo National Airport,Mexico
Piedras Negras International Airport,Mexico
Rostock-Laage Airport,Germany
Timisoara Traian Vuia Airport,Romania
Bismarck Municipal Airport,United States
Gombe Lawanti International Airport,Nigeria
Almeria International Airport,Spain
Menara Airport,Morocco
Bob Hope Airport,United States
Duluth International Airport,United States
Long Beach /Daugherty Field/ Airport,United States
Paderborn Lippstadt Airport,Germany
Xingyi Airport,China
Lanzarote Airport,Spain
Benin Airport,Nigeria
Sadiq Abubakar III International Airport,Nigeria
Yola Airport,Nigeria
Sfax Thyna International Airport,Tunisia
Tunis Carthage International Airport,Tunisia
Baise Youjiang Airport,China
Anshun Huangguoshu Airport,China
Baotou Airport,China
Bijie Feixiong Airport,China
Dongying Shengli Airport,China
Handan Airport,China
Jining Qufu Airport,China
Wuzhou Changzhoudao Airport,China
Xichang Qingshan Airport,China
Xining Caojiabu Airport,China
Lleida-Alguaire Airport,Spain
Tarbes-Lourdes-Pyrenees Airport,France
Santiago de Compostela Airport,Spain
Tenerife Norte Airport,Spain
Kufra Airport,Libya
Houari Boumediene Airport,Algeria
Ghat Airport,Libya
La Abraq Airport,Libya
Ghadames East Airport,Libya
Gardabya Airport,Libya
Gamal Abdel Nasser Airport,Libya
Banjul International Airport,Gambia
Praia International Airport,Cape Verde
Monastir Habib Bourguiba International Airport,Tunisia
Ilorin International Airport,Nigeria
Kaduna Airport,Nigeria
Akwa Ibom International Airport,Nigeria
South Bend Regional Airport,United States
Oita Airport,Japan
Hiroshima Airport,Japan
Komatsu Airport,Japan
Narita International Airport,Japan
Donetsk International Airport,Ukraine
Dehradun Airport,India
Allahabad Airport,India
Caen-Carpiquet Airport,France
Quimper-Cornouaille Airport,France
Agra Airport,India
Biju Patnaik Airport,India
Chhatrapati Shivaji International Airport,India
Gwalior Airport,India
Vir Savarkar International Airport,India
Jabalpur Airport,India
Chaudhary Charan Singh International Airport,India
Surat Airport,India
Jinzhou Airport,China
Jackson Hole Airport,United States
Al Ghaidah International Airport,Yemen
Aden International Airport,Yemen
Ataq Airport,Yemen
Sayun International Airport,Yemen
Hodeidah International Airport,Yemen
Mukalla International Airport,Yemen
Sana'a International Airport,Yemen
Socotra International Airport,Yemen
Sharjah International Airport,United Arab Emirates
Ta'izz International Airport,Yemen
Walvis Bay Airport,Namibia
Aspen-Pitkin Co/Sardy Field,United States
George Airport,South Africa
Chelyabinsk Balandino Airport,Russia
Begishevo Airport,Russia
Nizhnevartovsk Airport,Russia
Taganrog Yuzhny Airport,Russia
Bugulma Airport,Russia
Cheboksary Airport,Russia
Elista Airport,Russia
Tunoshna Airport,Russia
Pobedilovo Airport,Russia
Petrozavodsk Airport,Russia
Penza Airport,Russia
Sabiha Gokcen International Airport,Turkey
Syktyvkar Airport,Russia
Saransk Airport,Russia
Ulyanovsk Baratayevka Airport,Russia
Vorkuta Airport,Russia
Volgograd International Airport,Russia
Cherepovets Airport,Russia
Kirovsk-Apatity Airport,Russia
Murmansk Airport,Russia
Velikiy Ustyug Airport,Russia
Qianjiang Wulingshan Airport,China
Herat Airport,Afghanistan
Kandahar Airport,Afghanistan
Mazar I Sharif Airport,Afghanistan
Leon Airport,Spain
San Javier Airport,Spain
Burgos Airport,Spain
Logrono-Agoncillo Airport,Spain
Salamanca Airport,Spain
Valladolid Airport,Spain
Hosea Kutako International Airport,Namibia
