departure_airport,arrival_airport
Sheremetyevo International Airport,Krakow John Paul II International Airport
Sheremetyevo International Airport,Magnitogorsk International Airport
Queen Beatrix International Airport,Josefa Camejo International Airport
Queen Beatrix International Airport,La Chinita International Airport
Flamingo International Airport,Hato International Airport
Hato International Airport,Queen Beatrix International Airport
Josefa Camejo International Airport,Queen Beatrix International Airport
La Chinita International Airport,Queen Beatrix International Airport
Aberdeen Dyce Airport,Sumburgh Airport
Kirkwall Airport,Aberdeen Dyce Airport
Sumburgh Airport,Aberdeen Dyce Airport
Rarotonga International Airport,Aitutaki Airport
Luis Munoz Marin International Airport,Henry E Rohlsen Airport
Cyril E. King Airport,Luis Munoz Marin International Airport
Henry E Rohlsen Airport,Luis Munoz Marin International Airport
Glasgow International Airport,Tiree Airport
Tiree Airport,Glasgow International Airport
Ted Stevens Anchorage International Airport,Unalakleet Airport
Unalakleet Airport,Ted Stevens Anchorage International Airport
Inverness Airport,Stornoway Airport
Stornoway Airport,Inverness Airport
Campbell River Airport,Comox Airport
Comox Airport,Vancouver International Airport
Vancouver International Airport,Port Hardy Airport
Vancouver International Airport,Trail Airport
Port Hardy Airport,Vancouver International Airport
Trail Airport,Vancouver International Airport
Stockholm-Arlanda Airport,Visby Airport
Halmstad Airport,Stockholm-Arlanda Airport
Visby Airport,Stockholm-Arlanda Airport
Hattiesburg Laurel Regional Airport,Hartsfield Jackson Atlanta International Airport
Tupelo Regional Airport,Hartsfield Jackson Atlanta International Airport
Stockholm-Arlanda Airport,Halmstad Airport
Stockholm-Arlanda Airport,Karlstad Airport
Stockholm-Arlanda Airport,Mariehamn Airport
Stockholm-Arlanda Airport,Pori Airport
Stockholm-Arlanda Airport,Sandefjord Airport
Stockholm-Arlanda Airport,Vilhelmina Airport
Stockholm-Arlanda Airport,Vaxjo Kronoberg Airport
Halmstad Airport,Vaxjo Kronoberg Airport
Hemavan Airport,Vilhelmina Airport
Kokkola-Pietarsaari Airport,Pori Airport
Karlstad Airport,Stockholm-Arlanda Airport
Mariehamn Airport,Stockholm-Arlanda Airport
Mariehamn Airport,Turku Airport
Oslo Lufthavn,Vaxjo Kronoberg Airport
Pori Airport,Stockholm-Arlanda Airport
Pori Airport,Kokkola-Pietarsaari Airport
Turku Airport,Mariehamn Airport
Sandefjord Airport,Stockholm-Arlanda Airport
Vilhelmina Airport,Stockholm-Arlanda Airport
Vilhelmina Airport,Hemavan Airport
Vaxjo Kronoberg Airport,Stockholm-Arlanda Airport
Vaxjo Kronoberg Airport,Oslo Lufthavn
Hartsfield Jackson Atlanta International Airport,Greenbrier Valley Airport
Hartsfield Jackson Atlanta International Airport,Middle Georgia Regional Airport
Hartsfield Jackson Atlanta International Airport,Key Field
Hartsfield Jackson Atlanta International Airport,Northwest Alabama Regional Airport
Hartsfield Jackson Atlanta International Airport,Hattiesburg Laurel Regional Airport
Hartsfield Jackson Atlanta International Airport,Tupelo Regional Airport
South Bimini Airport,Fort Lauderdale Hollywood International Airport
North Eleuthera Airport,Fort Lauderdale Hollywood International Airport
North Eleuthera Airport,Palm Beach International Airport
Key West International Airport,Fort Lauderdale Hollywood International Airport
Key West International Airport,Southwest Florida International Airport
Key West International Airport,Tampa International Airport
Fort Lauderdale Hollywood International Airport,South Bimini Airport
Fort Lauderdale Hollywood International Airport,North Eleuthera Airport
Fort Lauderdale Hollywood International Airport,Key West International Airport
Fort Lauderdale Hollywood International Airport,Grand Bahama International Airport
Fort Lauderdale Hollywood International Airport,Exuma International Airport
Fort Lauderdale Hollywood International Airport,Governor's Harbour Airport
Fort Lauderdale Hollywood International Airport,Orlando International Airport
Fort Lauderdale Hollywood International Airport,Leonard M Thompson International Airport
Fort Lauderdale Hollywood International Airport,Treasure Cay Airport
Fort Lauderdale Hollywood International Airport,Tampa International Airport
Grand Bahama International Airport,Fort Lauderdale Hollywood International Airport
Exuma International Airport,Fort Lauderdale Hollywood International Airport
Exuma International Airport,Governor's Harbour Airport
Governor's Harbour Airport,Fort Lauderdale Hollywood International Airport
Mid Delta Regional Airport,Tupelo Regional Airport
Gainesville Regional Airport,Orlando International Airport
Gainesville Regional Airport,Tampa International Airport
Jacksonville International Airport,Leonard M Thompson International Airport
Jacksonville International Airport,Tampa International Airport
Greenbrier Valley Airport,Hartsfield Jackson Atlanta International Airport
Middle Georgia Regional Airport,Hartsfield Jackson Atlanta International Airport
Middle Georgia Regional Airport,Orlando International Airport
Orlando International Airport,Fort Lauderdale Hollywood International Airport
Orlando International Airport,Gainesville Regional Airport
Orlando International Airport,Middle Georgia Regional Airport
Orlando International Airport,Leonard M Thompson International Airport
Orlando International Airport,Pensacola Regional Airport
Orlando International Airport,Southwest Florida International Airport
Orlando International Airport,Tallahassee Regional Airport
Key Field,Hartsfield Jackson Atlanta International Airport
Leonard M Thompson International Airport,Fort Lauderdale Hollywood International Airport
Leonard M Thompson International Airport,Jacksonville International Airport
